kcnma1
ccnjl
bst1
pld3
rnf121
linc00346
il15
nisch
ubtd1
kiaa1549l
pear1
elmod1
chpf2
tbc1d2
zswim4
sntb1
mxra7
nlgn1
pla2g4c
ablim1
sync
mical2
gareml
nfe2l1
mfsd11
sytl2
pofut2
prnp
armc9
p4hb
nnmt
maged2
gmip
pfkfb3
pced1b
tgfb3
hyi
kdm5b
dnajc4
fam89b
ncor2
tnfsf15
nova1
znf260
mtss1l
cyp27a1
phex
plekho1
tmem255b
ano4
pik3r3
jup
adam23
tom1l1
or7e13p
hgsnat
sparc
flnc
tef
synpo
trank1
ccdc80
lipg
zyx
plbd2
pdlim7
kif26b
man2b1
ctnnbip1
baiap2-as1
sema6b
flnb
il1a
rhbdf1
map9
c11orf95
mpzl3
aplp2
evi5l
sdc3
smarca1
col8a1
map1lc3b
lmbr1l
meg3
f2r
dhrs12
dnase1l1
loxl1
sipa1l1
tmem2
epha2
plekhg2
gab3
p4ha2
fkbp9
hsd17b14
krt80
gpr137b
cd274
znf697
lrp10
impg2
znf114
clec4gp1
cryl1
rhod
rhob
itm2c
celsr1
ncstn
ankrd13b
tram2
tet1
kirrel
trp53i3
mgat5
armcx2
itga11
cd44
neb
fam26e
cpq
pnrc1
fam110d
il6
slc45a3
bach2
chst11
tnfaip1
ahdc1
dlg4
glce
plek2
nf2
arhgef26
kalrn
pde10a
clmn
bst2
rab30
lurap1l
wipi1
snora74b
tmem156
sort1
cpamd8
narf
ttc3
samd9
il17d
neat1
pik3cd
ahnak2
man1b1
nrep
sgk1
pak1
dusp23
sel1l3
pigz
thbs3
fam115b
ggt1
mast3
micall2
slc7a7
lims1
oas2
metrnl
cacng8
sgpl1
ctss
tmc7
kctd1
stxbp5-as1
mapk11
cdr2l
sdc2
lamb1
mgp
ddr1
srgap1
wdfy4
hivep2
adcy7
ctsa
fam131b
arsd
galnt15
fas
cln8
wasf3
ddx58
slc9a7
smad7
fam115a
scamp5
ppp2r5b
dnajc12
sdcbp2
mx1
scpep1
acvr1
ninj1
hcls1
bnc2
plxnb1
cpne5
frmd6
smox
cadm4
rnf182
tnfsf10
s100a10
htra3
pdcd4
hsd3bp5
sdpr
gramd1b
ap4m1
slc39a6
svil
wnt9a
epha4
bpgm
c15orf54
plk3
ehd1
spta1
rimklbp2
syngr1
mvp
arl16
whammp3
ppp1r3b
mfge8
p4ha3
btg2
mmp10
grina
kdm6b
il13ra1
slc12a4
crmp1
c1orf54
hmox2
sdc4
plac8
nfat5
sncg
ext2
r3hdm4
clstn1
ttyh3
gdf3
nynrin
mical1
ctsc
relb
zdhhc13
ddah2
pacs1
epb41l3
plekhg4
marcksl1
il1rapl1
klf2
lpar1
mtmr11
asap3
nipal2
znf821
fbxl2
tle4
nav1
sptbn2
app
ttll1
bcas3
grik4
trim8
clip4
fndc4
hoxa11-as
ifi6
cyth1
fam222b
ccdc149
hexa
ifi27l2
tnfrsf10d
blcap
gbp3
cuedc1
sesn2
tbx18
os9
bmp4
mapk8ip1
nrp2
cacfd1
bcorl1
mark4
fads3
panx1
atp6ap1
tbc1d9
rnd3
sulf2
lhfpl2
slc26a11
tapbp
rassf9
cdh5
zhx2
tmem150a
plekhm1
rrbp1
ccnd3
greb1l
sh3rf3
c15orf52
cyp26b1
rrm2b
trim7
f11r
acap3
numbl
actn1
linc00963
eng
ltbr
slc4a8
rab40b
fbxo44
gdf11
rit1
kiaa1324
scarna7
fabp5
cldn14
fhl1
spata20
sox4
mpzl2
hoxb8
trim22
pam
cd82
xxylt1-as2
arl4a
msi2
slc9a5
ids
mmp24
rcn1
edn1
ephb4
galnt12
gns
cpt1a
manba
glt8d2
wbp1l
gnptg
mir4435-1hg
dlg5
mir22hg
mdfi
fchsd1
ccdc19
irf7
kiaa0319l
itgb5
arhgap42
icam2
kif3c
kdr
zfyve1
siae
glis3
dfna5
pde5a
galnt6
gcc2
plxnd1
s100a11
elovl4
glb1
tmem184b
csf1
mir137hg
smg6
mylip
slc25a29
nipal1
tm2d2
etnk2
sts
prkcsh
ypel1
abcc1
dcun1d3
tbc1d16
tax1bp3
tuba1a
coro2b
arid4a
mafk
pla2g15
prcp
actg1
abcd1
gaa
pvrl2
ccdc92
sh2d2a
hsd11b1l
dbn1
tlr6
mast4
bsdc1
gabarap
pcdh1
cdc42ep5
necab3
ephx1
ramp2
xylt2
mmrn2
gdpd5
optn
slc9a1
phpt1
gsdmc
mapre3
ece1
itga3
vwfp1
linc00152
armc4
c19orf71
snord114-3
klhdc8b
bptf
rna28s5
lamp1
gnat2
eva1c
akr1c3
zfhx3
slc22a4
tuft1
rrn3p3
rnf215
dlgap4
tmem98
htr2b
cacnb3
ak5
clec14a
wls
mir181a1hg
gadd45a
snx16
plxnb3
galnt2
